display  D   display_settings.c:202  debug_display_settings           [   0.44580] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44582] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44584] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44587] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44588] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44591] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44592] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44595] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44597] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44599] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44601] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44603] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44605] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44607] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44609] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44611] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44613] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44616] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44617] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44620] Single Buffer requirement not met.
